school_name,domain
安徽中医药大学,ahtcm.edu.cn
临沂大学,lyu.edu.cn
天津农学院,tjac.edu.cn
南京晓庄学院,njxzc.edu.cn
黄冈师范学院,hgnc.net
天津外国语大学,tjfsu.edu.cn
四川轻化工大学,suse.edu.cn
长春大学,ccu.edu.cn
长春工程学院,ccit.edu.cn
无锡学院,bjxy.cn
安徽科技学院,ahstu.edu.cn
金陵科技学院,jit.edu.cn
岭南师范学院,lingnan.edu.cn
惠州学院,hzu.edu.cn
西藏农牧学院,xza.edu.cn
贵州民族大学,gzmu.edu.cn
衢州学院,qzc.edu.cn
铜仁学院,gztrc.edu.cn
浙江传媒学院,cuz.edu.cn
湖北第二师范学院,hue.edu.cn
齐齐哈尔大学,qqhru.edu.cn
福建中医药大学,fjtcm.edu.cn
合肥师范学院,hfnu.edu.cn
绵阳师范学院,mnu.cn
上海立信会计金融学院,lixin.edu.cn
广西科技大学,gxut.edu.cn
中国刑事警察学院,cipuc.edu.cn
攀枝花学院,pzhu.edu.cn
榆林学院,yulinu.edu.cn
湖南工商大学,hutb.edu.cn
内江师范学院,njtc.edu.cn
广东药科大学,gdpu.edu.cn
湖北汽车工业学院,huat.edu.cn
山东航空学院,bzu.edu.cn
沈阳医学院,symc.edu.cn
泰山学院,tsu.edu.cn
湖北文理学院,hbuas.edu.cn
三明学院,fjsmu.cn
重庆三峡学院,sanxiau.edu.cn
丽水学院,lsu.edu.cn
潍坊学院,wfu.edu.cn
云南民族大学,ynni.edu.cn
泉州师范学院,qztc.edu.cn
黑龙江科技大学,usth.edu.cn
广西民族大学,gxun.edu.cn
防灾科技学院,cidp.edu.cn
西安文理学院,xawl.edu.cn
天津商业大学,tjcu.edu.cn
湖北科技学院,hbust.edu.cn
杭州医学院,hmc.edu.cn
宝鸡文理学院,bjwlxy.edu.cn
龙岩学院,lyun.edu.cn
南阳师范学院,nynu.edu.cn
大连民族大学,dlnu.edu.cn
湖南文理学院,huas.edu.cn
通化师范学院,thnu.edu.cn
湘南学院,xnu.edu.cn
北方民族大学,nwsni.edu.cn
广东石油化工学院,gdpa.edu.cn
陕西中医药大学,sntcm.edu.cn
北华航天工业学院,nciae.edu.cn
怀化学院,hhtc.edu.cn
佳木斯大学,jmsu.edu.cn
中国人民警察大学,cppu.edu.cn
河北科技师范学院,hevttc.edu.cn
渭南师范学院,wntc.edu.cn
湖北经济学院,hbue.edu.cn
阜阳师范大学,fynu.edu.cn
德州学院,dzu.edu.cn
玉林师范学院,ylu.edu.cn
川北医学院,nsmc.edu.cn
云南财经大学,ynufe.edu.cn
济宁医学院,jnmc.edu.cn
南阳理工学院,nyist.edu.cn
滁州学院,chzu.edu.cn
江苏第二师范学院,jssnu.edu.cn
曲靖师范学院,qjnu.edu.cn
莆田学院,ptu.edu.cn
西安财经大学,xaufe.edu.cn
贵阳学院,gyu.cn
枣庄学院,uzz.edu.cn
湖北理工学院,hbpu.edu.cn
皖南医学院,wnmc.edu.cn
郑州航空工业管理学院,zua.edu.cn
湖南城市学院,hncu.net
湖南工程学院,hnie.edu.cn
湖南科技学院,huse.cn
西藏民族大学,xzmu.edu.cn
广东第二师范学院,gdei.edu.cn
中国劳动关系学院,culr.edu.cn
太原师范学院,tynu.edu.cn
周口师范学院,zknu.edu.cn
贵州财经大学,gzife.edu.cn
北部湾大学,bbgu.edu.cn
浙江水利水电学院,zjweu.edu.cn
肇庆学院,zqu.edu.cn
西北民族大学,xbmu.edu.cn
韩山师范学院,hstc.edu.cn
宿迁学院,squ.edu.cn
河南城建学院,hncj.edu.cn
中国民用航空飞行学院,cafuc.edu.cn
咸阳师范学院,xync.edu.cn
黑龙江工程学院,hljit.edu.cn
安阳师范学院,aynu.edu.cn
唐山师范学院,tstc.edu.cn
皖西学院,wxc.edu.cn
齐鲁师范学院,qlnu.edu.cn
成都师范学院,cdnu.edu.cn
河南工程学院,haue.edu.cn
哈尔滨商业大学,hrbcu.edu.cn
哈尔滨学院,hrbu.edu.cn
上饶师范学院,sru.edu.cn
贵州理工学院,git.edu.cn
牡丹江师范学院,mdjnu.cn
蚌埠医科大学,bbmc.edu.cn
昆明学院,kmu.edu.cn
武汉体育学院,whsu.edu.cn
浙江外国语学院,zisu.edu.cn
宜宾学院,yibinu.edu.cn
山东工商学院,sdibt.edu.cn
重庆第二师范学院,cque.edu.cn
河北中医药大学,hebcm.edu.cn
商丘师范学院,sqnc.edu.cn
湖南人文科技学院,huhst.edu.cn
黄淮学院,huanghuai.edu.cn
长治学院,czc.edu.cn
湖北工程学院,hbeu.cn
平顶山学院,pdsu.edu.cn
内蒙古民族大学,imun.edu.cn
乐山师范学院,lstc.edu.cn
温州理工学院,wzut.edu.cn
西昌学院,xcc.sc.cn
遵义师范学院,zync.edu.cn
沈阳体育学院,syty.edu.cn
贵州中医药大学,gzy.edu.cn
内蒙古财经大学,imufe.edu.cn
信阳农林学院,xyafu.edu.cn
宜春学院,jxycu.edu.cn
浙江警察学院,zjjcxy.cn
